Model,Treatment,Treatment target,Treatment type,BestResponse,Day_BestResponse,BestAvgResponse,Day_BestAvgResponse,TimeToDouble,Day_Last,ResponseCategory
X-3237,INC280,MET,single,282.4,16,88.4,14,10.070910556003223,16,PD
X-3237,LCL161 + paclitaxel,"BIRC2,TUBB,Tubulin",combo,-18.799999999999997,25,-3.9399999999999977,14,43.80039656311963,53,SD-->PD
X-3237,LEE011,"CDK4,CDK6,CDK4/6",single,98.2,21,7.140000000000015,14,21.421875000000004,37,PD
X-3237,LGH447,PIM,single,283.0,21,25.799999999999997,14,15.02127659574468,24,PD
X-3237,LLM871,FGFR2/4,single,101.1,20,5.359999999999985,13,19.92887931034483,33,PD
X-3237,binimetinib,"MAP2K1,MAP2K2,MAPK",single,-59.3,14,-36.63333333333333,17,49.0,49,PR-->PD
X-3237,untreated,"UNKNOWN,Untreated",single,241.2,9,105.575,9,5.281459419210723,9,PD
X-3237,LFW527 + binimetinib,"IGF1R,MAP2K1,MAP2K2",combo,-45.4,10,-34.620000000000005,13,48.66571018651363,61,SD-->PD
X-3267,5FU,chemotherapy,single,-37.1,82,-13.23461538461538,89,89.0,89,SD
X-3267,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,6.700000000000003,26,-0.6599999999999966,12,83.49896480331263,89,SD-->PD
X-3267,BKM120 + LJC049,"panPI3K,TNKS",combo,-7.200000000000003,17,-3.6166666666666742,17,38.0,38,SD-->PD
X-3267,BYL719,PIK3CA,single,3.4000000000000057,38,3.200000000000003,14,80.17448405253283,87,SD-->PD
X-3267,BYL719 + cetuximab,"PIK3CA,EGFR",combo,-7.900000000000006,31,-1.8400000000000032,13,83.0,83,SD-->PD
X-3267,BYL719 + cetuximab + encorafenib,"PIK3CA,EGFR,BRAF",combo,-6.299999999999997,14,-5.36,14,50.12280701754386,77,SD-->PD
X-3267,BYL719 + encorafenib,"PIK3CA,BRAF",combo,44.099999999999994,20,5.959999999999994,13,43.542750929368026,83,PD
X-3267,BYL719 + LJM716,"PIK3CA,ERBB3,ERBB3,PIK3CA",combo,-7.0,45,0.2000000000000028,14,87.0,87,SD-->PD
