[2025-10-04 00:28:35] Start training THERAPI_aligner model
[2025-10-04 00:28:35] random seed with 0
[2025-10-04 00:29:13] Start training THERAPI_aligner model
[2025-10-04 00:29:13] random seed with 0
[2025-10-04 00:29:33] Epoch 39, Train loss 167.2062, G_losses 98.1676, T_losses 68.7871
[2025-10-04 00:29:33] Epoch 40, Train loss 166.7236, G_losses 97.7615, T_losses 72.2797
[2025-10-04 00:29:33] Epoch 41, Train loss 164.2629, G_losses 97.4690, T_losses 68.7518
[2025-10-04 00:29:34] Epoch 42, Train loss 160.1964, G_losses 96.9012, T_losses 60.6707
[2025-10-04 00:29:34] Epoch 43, Train loss 157.9503, G_losses 96.5995, T_losses 60.0205
[2025-10-04 00:29:34] Epoch 44, Train loss 155.4890, G_losses 95.8329, T_losses 60.5983
[2025-10-04 00:29:34] Epoch 45, Train loss 152.1872, G_losses 95.3094, T_losses 57.1722
[2025-10-04 00:29:34] Epoch 46, Train loss 149.4279, G_losses 94.7105, T_losses 54.7681
[2025-10-04 00:29:34] Epoch 47, Train loss 146.8737, G_losses 94.5142, T_losses 52.0393
[2025-10-04 00:29:34] Epoch 48, Train loss 144.6852, G_losses 93.9557, T_losses 49.8642
[2025-10-04 00:29:34] Epoch 49, Train loss 143.0916, G_losses 93.5621, T_losses 48.0262
[2025-10-04 00:29:34] Epoch 50, Train loss 142.2608, G_losses 93.4176, T_losses 48.9318
[2025-10-04 00:29:34] Epoch 51, Train loss 140.3704, G_losses 91.5853, T_losses 48.6781
[2025-10-04 00:29:34] Epoch 52, Train loss 138.4377, G_losses 90.7298, T_losses 46.3602
[2025-10-04 00:29:34] Epoch 53, Train loss 136.7873, G_losses 90.0056, T_losses 45.8045
[2025-10-04 00:29:34] Epoch 54, Train loss 135.1224, G_losses 89.5279, T_losses 45.7422
[2025-10-04 00:29:34] Epoch 55, Train loss 132.8356, G_losses 88.5737, T_losses 44.6872
[2025-10-04 00:29:34] Epoch 56, Train loss 130.4665, G_losses 87.2950, T_losses 43.7531
[2025-10-04 00:29:34] Epoch 57, Train loss 126.8580, G_losses 86.0573, T_losses 38.5329
[2025-10-04 00:29:34] Epoch 58, Train loss 124.9989, G_losses 84.3932, T_losses 41.8477
[2025-10-04 00:29:34] Epoch 59, Train loss 122.2398, G_losses 83.0766, T_losses 40.2989
[2025-10-04 00:29:34] Epoch 60, Train loss 117.6076, G_losses 81.7690, T_losses 32.7357
[2025-10-04 00:29:34] Epoch 61, Train loss 115.9986, G_losses 80.7756, T_losses 36.7465
[2025-10-04 00:29:34] Epoch 62, Train loss 112.0550, G_losses 79.1917, T_losses 31.2030
[2025-10-04 00:29:34] Epoch 63, Train loss 114.9030, G_losses 82.8113, T_losses 34.1796
[2025-10-04 00:29:34] Epoch 64, Train loss 121.0294, G_losses 81.3336, T_losses 41.7848
[2025-10-04 00:29:34] Epoch 65, Train loss 117.4320, G_losses 80.7619, T_losses 34.7678
